Provinsi,Kab Kota,Kecamatan,Desa,Tanggal,Waktu,Satelit,Confidence,TN,TX,TAVG,RR,FF_AVG
Kalimantan Timur,BERAU,Gunung Tabur,Kelurahan Gunung Tabur,2023-08-30 00:00:00,12:42 WIB,NASA-MODIS,High,24.0,36.2,29.2,0.0,2.0
Kalimantan Barat,KETAPANG,Nanga Tayap,Pangkalan Teluk,2023-07-18 00:00:00,13:46 WIB,NASA-MODIS,High,24.8,34.2,28.9,0.0,3.0
Kalimantan Barat,SAMBAS,Selakau Timur,Selakau Tua,2023-07-31 00:00:00,13:03 WIB,NASA-MODIS,High,23.2,34.2,27.9,0.0,1.0
Kalimantan Barat,MELAWI,Belimbing,Tekaban,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,23.6,33.2,28.2,0.0,2.0
Kalimantan Barat,SINTANG,Ketungau Tengah,Bakti Senabung,2023-07-29 00:00:00,13:16 WIB,NASA-MODIS,High,21.3,33.0,27.1,0.0,2.0
Kalimantan Barat,SINTANG,Ambalau,Buntut Purun,2023-07-31 00:00:00,13:03 WIB,NASA-MODIS,High,21.2,34.2,27.4,0.0,1.0
Kalimantan Barat,KETAPANG,Tumbang Titi,Titi Baru,2023-08-13 00:00:00,13:50 WIB,NASA-NOAA20,High,22.6,33.2,27.2,0.0,3.0
Kalimantan Barat,SINTANG,Kayan Hulu,Kebarau,2023-08-08 00:00:00,13:44 WIB,NASA-MODIS,High,23.6,33.8,28.0,10.0,1.0
Kalimantan Barat,SAMBAS,Jawai,Pelimpaan,2023-08-13 00:00:00,13:57 WIB,NASA-MODIS,High,23.4,33.4,27.7,0.0,1.0
Kalimantan Barat,KETAPANG,Kendawangan,Pembedilan,2023-06-10 00:00:00,13:25 WIB,NASA-MODIS,High,24.0,33.8,29.0,0.0,3.0
Kalimantan Barat,KUBU RAYA,Sungai Raya,Sungaiasam,2023-08-17 00:00:00,09:32 WIB,NASA-MODIS,High,23.5,33.6,27.1,0.0,2.0
Kalimantan Barat,KETAPANG,Sungai Laur,Sungai Daka,2023-08-17 00:00:00,13:27 WIB,NASA-MODIS,High,24.4,33.8,28.0,0.0,3.0
Kalimantan Barat,MELAWI,Sayan,Nanga Raku,2023-08-14 00:00:00,13:31 WIB,NASA-NOAA20,High,23.7,32.2,27.5,0.0,2.0
Kalimantan Barat,SINTANG,Ketungau Tengah,Wana Bhakti,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,22.6,35.0,28.7,0.0,1.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Botuh Bosi,2023-07-29 00:00:00,13:16 WIB,NASA-MODIS,High,23.7,33.6,28.3,0.0,4.0
Kalimantan Barat,SINTANG,Ketungau Tengah,Landau Temiang,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,22.6,35.0,28.7,0.0,1.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Kualan Tengah,2023-07-18 00:00:00,13:37 WIB,NASA-NOAA20,High,24.8,34.2,28.9,0.0,3.0
Kalimantan Barat,SINTANG,Kayan Hulu,Nanga Ungai,2023-07-29 00:00:00,13:16 WIB,NASA-MODIS,High,21.3,33.0,27.1,0.0,2.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Sekucing Labai,2023-08-29 00:00:00,13:50 WIB,NASA-NOAA20,High,23.6,34.8,29.0,0.0,4.0
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Pesaguan Kanan,2023-08-06 00:00:00,01:36 WIB,NASA-MODIS,High,25.1,34.0,28.1,4.9,3.0
Kalimantan Barat,KETAPANG,Nanga Tayap,Pangkalan Teluk,2023-08-19 00:00:00,13:12 WIB,NASA-MODIS,High,24.3,34.0,28.9,0.0,4.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Kenanga,2023-08-13 00:00:00,13:57 WIB,NASA-MODIS,High,22.6,33.2,27.2,0.0,3.0
Kalimantan Barat,SINTANG,Ketungau Tengah,Padung Kumang,2023-08-05 00:00:00,13:16 WIB,NASA-MODIS,High,21.8,34.6,27.7,0.0,1.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Paoh Concong,2023-08-20 00:00:00,09:56 WIB,NASA-MODIS,High,24.6,33.8,28.6,0.0,4.0
Kalimantan Timur,BERAU,Segah,Batu Rajang,2023-08-04 00:00:00,13:20 WIB,NASA-NOAA20,High,24.6,35.6,28.6,0.0,1.0
Kalimantan Barat,KETAPANG,Sungai Laur,Mekar Harapan,2023-08-19 00:00:00,13:12 WIB,NASA-MODIS,High,24.3,34.0,28.9,0.0,4.0
Kalimantan Barat,SAMBAS,Paloh,Temajuk,2023-06-15 00:00:00,13:40 WIB,NASA-MODIS,High,24.0,33.2,27.0,2.0,1.0
Kalimantan Barat,SINTANG,Kayan Hilir,Lengkong Bindu,2023-07-29 00:00:00,13:31 WIB,NASA-NOAA20,High,21.3,33.0,27.1,0.0,2.0
Kalimantan Barat,SINTANG,Kayan Hulu,Nanga Oran,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,22.6,35.0,28.7,0.0,1.0
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Pesaguan Kanan,2023-08-09 00:00:00,21:18 WIB,NASA-MODIS,High,23.5,33.4,28.1,0.0,3.0
Kalimantan Barat,KETAPANG,Sandai,Sandai,2023-08-13 00:00:00,12:10 WIB,NASA-NOAA20,High,22.6,33.2,27.2,0.0,3.0
Kalimantan Barat,MELAWI,Sokan,Gelata,2023-08-07 00:00:00,12:23 WIB,NASA-NOAA20,High,22.6,34.0,27.5,0.2,2.0
Kalimantan Barat,SINTANG,Ambalau,Nanga Sakai,2023-08-30 00:00:00,13:31 WIB,NASA-NOAA20,High,22.4,35.0,28.0,0.0,1.0
Kalimantan Barat,KETAPANG,Simpang Hulu,Botuh Bosi,2023-08-12 00:00:00,12:27 WIB,NASA-NOAA20,High,22.5,32.3,26.6,0.0,3.0
Kalimantan Barat,KETAPANG,Sungai Laur,Mekar Harapan,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,24.0,32.6,28.5,0.0,3.0
Kalimantan Barat,MELAWI,Ella Hilir,Nanga Ella Hilir,2023-08-12 00:00:00,13:14 WIB,NASA-MODIS,High,23.0,34.0,27.5,6.7,2.0
Kalimantan Barat,MELAWI,Sayan,Bora,2023-06-27 00:00:00,13:31 WIB,NASA-NOAA20,High,25.3,33.5,27.4,0.0,2.0
Kalimantan Barat,KETAPANG,Sungai Laur,Bengaras,2023-08-31 00:00:00,13:25 WIB,NASA-MODIS,High,24.1,33.6,28.5,0.0,4.0
Kalimantan Barat,KETAPANG,Pemahan,Pebihingan,2023-08-03 00:00:00,13:37 WIB,NASA-NOAA20,High,22.9,34.0,27.6,7.0,3.0
Kalimantan Barat,SINTANG,Ketungau Tengah,Wana Bhakti,2023-07-27 00:00:00,13:31 WIB,NASA-MODIS,High,22.4,33.4,27.6,0.0,2.0
