Provinsi;Kab Kota;Kecamatan;Desa;Tanggal;Waktu;Satelit;Confidence;Latitude;Longitude;TN;TX;TAVG;RR;FF_AVG;;;
Kalimantan Barat;KETAPANG;Air Upas;Air Upas;24/07/2023;13:03 WIB;NASA-MODIS;Medium;-2,00000;36377;24.8;32.8;28.3;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Air Upas;Gahang;19/06/2023;13:10 WIB;NASA-MODIS;Medium;-2,00000;30707;25.3;34.2;29.2;0.0;2.0;;;
Kalimantan Barat;KETAPANG;Air Upas;Gahang;29/07/2023;13:16 WIB;NASA-MODIS;Medium;-2,00000;35726;23.7;33.6;28.3;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Air Upas;Harapan Baru;10/08/2023;13:29 WIB;NASA-MODIS;Medium;-2,00000;23077;23.8;33.3;27.9;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Air Upas;Harapan Baru;27/07/2023;13:31 WIB;NASA-MODIS;Medium;-2,00000;19354;24.0;32.6;28.5;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Air Upas;Mekar Jaya;27/06/2023;13:50 WIB;NASA-MODIS;Medium;-2,00000;23973;23.9;32.9;27.6;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Benua Kayong;Mekar Sari;29/07/2023;13:16 WIB;NASA-MODIS;Medium;-1,00000;87614;23.7;33.6;28.3;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Benua Kayong;Negeri Baru;05/08/2023;13:14 WIB;NASA-MODIS;Medium;-1,00000;86902;24.9;34.2;28.4;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Benua Kayong;Negeri Baru;15/08/2023;13:42 WIB;NASA-MODIS;Medium;-1,00000;88562;23.0;33.4;27.7;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Benua Kayong;Negeri Baru;29/07/2023;13:16 WIB;NASA-MODIS;Medium;-1,00000;87433;23.7;33.6;28.3;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Batu Lapis;10/08/2023;13:29 WIB;NASA-MODIS;Medium;-1,00000;27991;23.8;33.3;27.9;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Batu Lapis;14/08/2023;12:59 WIB;NASA-MODIS;Medium;-1,00000;28139;23.3;33.0;27.4;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Batu Lapis;31/07/2023;13:01 WIB;NASA-MODIS;Medium;-1,00000;27446;23.6;34.2;28.6;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Beginci Darat;03/08/2023;13:29 WIB;NASA-MODIS;Medium;-1,00000;20177;22.9;34.0;27.6;7.0;3.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Beginci Darat;10/08/2023;13:29 WIB;NASA-MODIS;Medium;-1,00000;23409;23.8;33.3;27.9;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Beginci Darat;24/08/2023;13:25 WIB;NASA-MODIS;Medium;-1,00000;3163;24.9;34.0;28.7;4.3;3.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Beginci Darat;31/08/2023;13:25 WIB;NASA-MODIS;Medium;-1,00000;30937;24.1;33.6;28.5;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Benua Krio;24/08/2023;13:25 WIB;NASA-MODIS;Medium;-1,00000;11576;24.9;34.0;28.7;4.3;3.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Benua Krio;31/08/2023;13:25 WIB;NASA-MODIS;Medium;-1,00000;8941;24.1;33.6;28.5;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Cinta Manis;19/08/2023;13:12 WIB;NASA-MODIS;Medium;-1,00000;1422;24.3;34.0;28.9;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Cinta Manis;31/08/2023;13:25 WIB;NASA-MODIS;Medium;-1,00000;17923;24.1;33.6;28.5;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Kenyabur;17/08/2023;13:27 WIB;NASA-MODIS;Medium;0,00000;70384;24.4;33.8;28.0;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Kenyabur;19/08/2023;13:12 WIB;NASA-MODIS;Medium;0,00000;75962;24.3;34.0;28.9;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Kenyabur;21/08/2023;12:59 WIB;NASA-MODIS;Medium;0,00000;76556;24.3;33.8;28.6;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Kenyabur;24/08/2023;13:25 WIB;NASA-MODIS;Medium;0,00000;7415;24.9;34.0;28.7;4.3;3.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Krio Hulu;12/08/2023;13:14 WIB;NASA-MODIS;Medium;0,00000;8728;22.5;32.3;26.6;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Krio Hulu;13/08/2023;13:57 WIB;NASA-MODIS;Medium;0,00000;88738;22.6;33.2;27.2;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Krio Hulu;15/08/2023;13:42 WIB;NASA-MODIS;Medium;0,00000;86754;23.0;33.4;27.7;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Krio Hulu;17/08/2023;13:27 WIB;NASA-MODIS;Medium;0,00000;90056;24.4;33.8;28.0;0.0;3.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Krio Hulu;19/08/2023;13:12 WIB;NASA-MODIS;Medium;0,00000;86106;24.3;34.0;28.9;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Krio Hulu;21/08/2023;12:59 WIB;NASA-MODIS;Medium;0,00000;76928;24.3;33.8;28.6;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Krio Hulu;31/08/2023;13:25 WIB;NASA-MODIS;Medium;0,00000;86189;24.1;33.6;28.5;0.0;4.0;;;
Kalimantan Barat;KETAPANG;Hulu Sungai;Lubuk Kakap;12/08/2023;13:14 WIB;NASA-MODIS;Medium;-1,00000;30452;22.5;32.3;26.6;0.0;3.0;;;
