Provinsi,Kab Kota,Kecamatan,Desa,Tanggal,Waktu,Satelit,Confidence,Latitude,Longitude,TN,TX,TAVG,RR,FF_AVG,Confidence_encoded
Kalimantan Barat,SINTANG,Serawai,Nanga Segulang,16/08/2023,12:53 WIB,NASA-NOAA20,medium,-0.40554,11244154.0,,,24.4,33.6,27.6,0
Kalimantan Barat,KUBU RAYA,Sungai Kakap,Pungur Besar,16/08/2023,12:53 WIB,NASA-NOAA20,medium,"0,00000",21496.0,23.2,34.8,27.4,0.0,2.0,0
Kalimantan Barat,KETAPANG,Matan Hilir Selatan,Sungai Bakau,30/08/2023,13:31 WIB,NASA-NOAA20,medium,"-1,00000",94658.0,24.0,33.8,28.0,0.0,4.0,0
Kalimantan Barat,KETAPANG,Kendawangan,Danau Buntar,13/06/2023,00:13 WIB,NASA-NOAA20,medium,"-2,00000",61686.0,23.8,34.6,28.3,0.0,2.0,0
Kalimantan Barat,KUBU RAYA,Sungai Raya,Sungaiasam,27/07/2023,13:31 WIB,NASA-MODIS,medium,"0,00000",24669.0,23.6,34.0,27.5,0.0,4.0,0
Kalimantan Barat,SINTANG,Kelam Permai,Bengkuang,29/07/2023,13:31 WIB,NASA-NOAA20,medium,0.1588,11188893.0,,,21.3,33.0,27.1,0
Kalimantan Tengah,BARITO SELATAN,Dusun Utara,Reong,27/08/2023,12:48 WIB,NASA-NOAA20,medium,"-1,00000",39508.0,23.2,34.6,28.2,0.0,1.0,0
Kalimantan Barat,KETAPANG,Nanga Tayap,Tanjung Medan,14/08/2023,00:52 WIB,NASA-NOAA20,medium,"-1,00000",39919.0,23.3,33.0,27.4,0.0,3.0,0
Kalimantan Barat,KETAPANG,Sandai,Pendamaran Indah,10/08/2023,13:05 WIB,NASA-NOAA20,medium,"-1,00000",13416.0,23.8,33.3,27.9,0.0,4.0,0
Kalimantan Tengah,KOTAWARINGIN TIMUR,Mentaya Hilir Selatan,Sei Ijum Raya,27/08/2023,09:47 WIB,NASA-MODIS,medium,-293617.0,11290868.0,,,23.2,34.5,28.5,0
Kalimantan Barat,KETAPANG,Tumbang Titi,Tumbang Titi,31/08/2023,13:25 WIB,NASA-MODIS,medium,"-1,00000",82306.0,24.1,33.6,28.5,0.0,4.0,0
Kalimantan Barat,KETAPANG,Matan Hilir Utara,Kuala Tolak,16/08/2023,12:55 WIB,NASA-NOAA20,medium,"-1,00000",45773.0,23.9,33.4,27.9,0.0,3.0,0
Kalimantan Barat,SINTANG,Sepauk,Temawang Bulai,31/08/2023,13:12 WIB,NASA-NOAA20,medium,-0.44254,1112383.0,,,22.6,35.0,28.7,0
Kalimantan Barat,KETAPANG,Nanga Tayap,Tajok Kayong,01/08/2023,12:33 WIB,NASA-NOAA20,medium,"-1,00000",58155.0,24.4,34.2,28.5,0.0,4.0,0
Kalimantan Barat,KUBU RAYA,Sungai Raya,Limbung,18/08/2023,01:15 WIB,NASA-NOAA20,medium,"0,00000",18457.0,23.7,34.0,26.7,0.0,2.0,0
Kalimantan Barat,KETAPANG,Tumbang Titi,Sepauhan Raya,25/07/2023,13:44 WIB,NASA-MODIS,medium,"-1,00000",96355.0,24.6,33.6,28.4,0.0,3.0,0
Kalimantan Barat,KETAPANG,Manis Mata,Sungai Buluh,21/08/2023,00:20 WIB,NASA-NOAA20,medium,"-2,00000",61565.0,24.3,33.8,28.6,0.0,4.0,0
Kalimantan Barat,KETAPANG,Simpang Hulu,Botuh Bosi,12/08/2023,12:27 WIB,NASA-NOAA20,medium,"0,00000",54872.0,22.5,32.3,26.6,0.0,3.0,0
Kalimantan Barat,KETAPANG,Sandai,Merimbang Jaya,27/08/2023,12:48 WIB,NASA-NOAA20,medium,"-1,00000",11513.0,23.6,32.4,28.3,0.0,3.0,0
Kalimantan Barat,KUBU RAYA,Kuala Mandor B,Kuala Mandor B,06/08/2023,12:42 WIB,NASA-NOAA20,medium,"0,00000",1287.0,23.9,33.6,27.3,0.0,2.0,0
Kalimantan Barat,KETAPANG,Hulu Sungai,Kenyabur,18/08/2023,12:16 WIB,NASA-NOAA20,medium,"0,00000",76764.0,24.0,34.2,28.1,0.0,4.0,0
Kalimantan Barat,KETAPANG,Sandai,Randau,15/08/2023,13:42 WIB,NASA-MODIS,medium,"0,00000",99498.0,23.0,33.4,27.7,0.0,4.0,0
Kalimantan Tengah,BARITO SELATAN,Jenamas,Tabatan,11/08/2023,12:46 WIB,NASA-NOAA20,medium,"-2,00000",53841.0,22.8,34.0,27.0,0.0,1.0,0
Kalimantan Barat,KETAPANG,Sungai Laur,Selangkut Raya,13/08/2023,12:10 WIB,NASA-NOAA20,medium,"0,00000",75718.0,22.6,33.2,27.2,0.0,3.0,0
Kalimantan Barat,KETAPANG,Jelai Hulu,Limpang,14/08/2023,12:59 WIB,NASA-MODIS,medium,"-1,00000",87926.0,23.3,33.0,27.4,0.0,3.0,0
Kalimantan Barat,KETAPANG,Nanga Tayap,Kayong Utara,09/08/2023,13:25 WIB,NASA-NOAA20,medium,"-1,00000",51883.0,23.5,33.4,28.1,0.0,3.0,0
